Designator,Mid X,Mid Y,Rotation,Layer
C1,124.44,-80.01,0.0,top
C2,132.06,-80.01,0.0,top
C3,116.86,-80.01,180.0,top
C4,115.59,-95.25,180.0,top
C5,130.79,-95.25,0.0,top
C6,106.7,-87.63,180.0,top
C7,106.7,-113.03,180.0,top
D1,170.18,-86.36,0.0,top
D2,170.18,-91.44,0.0,top
D3,157.48,-81.28,0.0,top
D4,157.48,-86.36,0.0,top
D5,157.48,-91.44,0.0,top
J1,106.68,-100.33,0.0,top
J2,193.04,-96.52,90.0,top
J3,193.04,-111.76,90.0,top
J4,193.04,-88.9,90.0,top
J5,186.69,-120.65,90.0,top
J6,193.04,-104.14,90.0,top
J7,172.72,-120.65,270.0,top
J8,177.8,-120.65,270.0,top
J9,167.64,-120.65,270.0,top
Q1,168.91,-81.28,0.0,top
Q2,177.8,-81.28,0.0,top
Q3,186.69,-81.28,0.0,top
R1,142.24,-105.41,0.0,top
R10,142.24,-87.63,0.0,top
R12,142.24,-90.17,0.0,top
R15,142.24,-102.87,0.0,top
R16,142.24,-92.71,180.0,top
R17,142.24,-115.57,180.0,top
R18,142.24,-113.03,0.0,top
R19,142.24,-118.11,180.0,top
R2,142.24,-107.95,180.0,top
R3,142.24,-95.25,0.0,top
R4,142.24,-97.79,180.0,top
R5,142.24,-110.49,180.0,top
R7,142.24,-100.33,180.0,top
R8,142.24,-85.09,0.0,top
U1,123.19,-113.9,0.0,top
U2,123.19,-95.25,0.0,top
